Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA416_868MHz_915MHz,1,Antenna 915MHz,
AE2,Cypress 2.4GHz,1,Antenna 2.4GHz,
"C10, C11, C8, C9",C0603,4,0.1uF,C14663
C12,C0603,1,1uF,C1592
"C13, C14, C5, C6, C7",C0603,5,10uF,C194427
"C15, C16, C17",C0805,3,22uF,C602037
C3,C0603,1,2.2uF,C23630
C4,C0603,1,470pF,C107092
CN1,CONN-SMD_PH2.0-1X2PW,1,PH2.0-2P-LT,C722761
D1,SOD-123FL_L2.7-W1.8-LS3.8-RD,1,DSK26_C7502712,C7502712
D2,SOD-323_L1.8-W1.3-LS2.5-RD,1,1N5819WS,C191023
J1,Solder_Wire_Feedpoint_W65mills_S13mills,1,Feed Point 915MHz,
J2,Solder_Wire_Feedpoint_W65mills_S13mills,1,Feed Point 2.4 GHz,
L1,L1008,1,2.2uH,C576403
L2,L2520,1,1uH,C435392
"LED2, LED3, LED4",LED0603-R-RD_WHITE,3,White,C2290
LED5,LED0603-RD_GREEN,1,~,C22371298
Q1,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,2N7002,C8545
"R1, R2",R0603,2,4.7KΩ,C23162
R10,R0603,1,51kΩ,C23196
R11,R0603,1,680kΩ,C25822
R12,R0603,1,0.5Ω,C45312
R13,R0603,1,5.1Ω,C25197
"R14, R15, R16, R17",R0603,4,50kΩ,C861451
R18,R0603,1,100KΩ,C25803
"R19, R21, R22",R0603,3,2KΩ,C22975
R20,R0603,1,33Ω,C23140
"R3, R4",R0603,2,5.1kΩ,C23186
R7,R0603,1,240Ω,C23350
"R8, R9",R0603,2,1KΩ,C21190
SW1,SW-SMD_3P-L9.1-W3.5-P2.50_BDKG-3P-H2MM,1,TA-3525-A1,C514018
U1,OLED-TH_L27.8-W27.2-P2.54_C9900033791,1,HS96L03W2C03,C5248080
U10,BUZ-SMD_3P_L5.0-W5.0-P3.50-TL,1,YX-SMD5020,C781883
U11,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,IP2312-4V35,C605433
U2,MOUDLE14P-SMD-2.54-21X17.8MM-header,1,MOUDLE-SEEEDUINO-XIAO-ESP32S3,
U4,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BR,1,TPS613222ADBVR,C2071163
"U5, U6, U7, U8",SW-TH_HRO_K2-1109DF-EXXW-XX,4,~,C2909684
U9,TSSOP-24_L7.8-W4.4-P0.65-LS6.4-BL,1,TCA9555PWR,C465732
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
"Z11, Z8",R0402,2,0Ω,C21376
