Designator,Mid X,Mid Y,Rotation,Layer
AE1,94.4,-56.95,90.0,top
AE2,171.944,-50.6184,270.0,top
C10,124.518333,-116.895,0.0,top
C11,113.9,-116.895,0.0,top
C12,157.4,-100.9,0.0,top
C13,106.3,-103.6,270.0,top
C14,108.4,-103.6,270.0,top
C15,104.1,-103.6,270.0,top
C16,107.0,-113.4,90.0,top
C17,111.6275,-108.43,90.0,top
C3,149.7,-95.8,180.0,top
C4,157.24,-86.675,270.0,top
C5,159.84,-95.825,90.0,top
C6,162.19,-95.85,90.0,top
C7,164.615,-95.825,90.0,top
C8,145.705,-116.72,0.0,top
C9,134.974167,-116.845,0.0,top
CN1,101.06,-97.74,90.0,top
D1,156.14,-89.85,180.0,top
D2,163.4,-122.03,270.0,top
J1,111.63,-56.3916,180.0,top
J2,146.0988,-63.67094,0.0,top
L1,149.8,-92.9,0.0,top
L2,107.6475,-107.35,0.0,top
LED2,143.1325,-107.6,0.0,top
LED3,130.55375,-107.6,0.0,top
LED4,118.44,-107.6,0.0,top
LED5,92.9375,-102.84,180.0,top
Q1,157.5,-121.6,0.0,top
R1,117.4,-61.5,270.0,top
R10,92.9375,-109.94,0.0,top
R11,104.8,-113.4,90.0,top
R12,107.7475,-109.95,0.0,top
R13,155.115,-86.675,90.0,top
R14,145.655,-114.32,0.0,top
R15,134.974167,-114.32,0.0,top
R16,124.393333,-114.17,0.0,top
R17,113.85,-114.245,0.0,top
R18,154.6,-121.7,90.0,top
R19,147.2175,-107.6,0.0,top
R2,117.5,-57.5,90.0,top
R20,160.475,-122.405,270.0,top
R21,134.62875,-107.6,0.0,top
R22,122.05,-107.6,0.0,top
R3,96.285,-117.27,270.0,top
R4,98.335,-117.27,270.0,top
R7,92.9375,-104.75,0.0,top
R8,92.8875,-108.24,0.0,top
R9,92.9375,-106.54,180.0,top
SW1,92.45,-94.3,270.0,top
U1,130.6,-86.1275,0.0,top
U10,168.15,-121.955,270.0,top
U11,99.0375,-107.14,270.0,top
U2,130.4175,-55.68,0.0,top
U4,155.74,-93.85,0.0,top
U5,145.8,-120.1,0.0,top
U6,134.794167,-120.175,0.0,top
U7,124.313333,-120.1,0.0,top
U8,113.77,-120.15,0.0,top
U9,162.7,-107.1,270.0,top
USB1,90.3175,-119.72,270.0,top
Z11,155.0788,-53.6404,0.0,top
Z8,102.97,-65.95,180.0,top
